Gene ID	Gene Name	Design Element	D20_C	pU62_B	pU62_C	D20_A	D20_B	pU62_A
ENSG00000000003	TSPAN6	209108_at	11.561386	10.499425	10.487066	11.596925	11.501334	10.465447
ENSG00000000003	TSPAN6	209109_s_at	11.249704	10.362057	10.470523	11.160182	11.223135	10.492932
ENSG00000000005	TNMD	220065_at	3.1434636	3.1512182	3.4367135	2.9712536	3.2162666	3.1224475
ENSG00000000419	DPM1	202673_at	10.382985	10.527815	10.686775	10.403881	10.32526	10.772428
ENSG00000000457	SCYL3	205607_s_at	7.4742374	7.6681676	7.6632915	7.4086385	7.4991393	7.6671233
ENSG00000000457	SCYL3	231111_at	5.440661	5.243382	5.6729445	5.1733103	4.799249	5.4279895
ENSG00000000457	SCYL3	41329_at	7.6926928	7.686579	7.8203144	7.5461507	7.5749736	7.7394605
ENSG00000000460	C1orf112	220840_s_at	7.4074206	7.590755	7.7838798	7.5857053	7.3976884	7.6848536
ENSG00000000938	FGR	208438_s_at	3.6414144	3.8813965	3.8685138	3.6337855	3.9030933	3.650505
ENSG00000000971	CFH	213800_at	3.356287	3.813962	3.677114	3.3180478	3.570327	3.521396
ENSG00000001036	FUCA2	223120_at	10.365478	10.691756	10.642977	10.438009	10.373852	10.606425
ENSG00000001084	GCLC	1555330_at	4.2300777	3.830777	4.15005	4.263095	4.5914392	4.1556673
ENSG00000001084	GCLC	202922_at	7.276285	7.659334	7.910651	7.4124165	7.0993495	7.7426643
ENSG00000001084	GCLC	202923_s_at	8.438747	8.549489	8.559294	8.407692	8.313107	8.644861
ENSG00000001167	NFYA	204107_at	8.489609	8.829266	8.656795	8.406633	8.274468	8.55373
ENSG00000001167	NFYA	204108_at	8.897252	9.222528	9.215318	8.855776	8.754872	9.146555
ENSG00000001167	NFYA	204109_s_at	8.2768345	8.9412365	8.815142	8.333565	8.317762	8.809823
ENSG00000001167	NFYA	215720_s_at	7.882065	8.0775795	7.8666997	7.597416	7.7262254	7.8837523
ENSG00000001167	NFYA	228433_at	8.579461	9.0103655	9.209276	8.496717	8.374096	9.083039
ENSG00000001460	STPG1	227694_at	6.400211	5.067919	4.9355807	6.3571925	6.365804	5.39795
ENSG00000001460	STPG1	233693_at	4.694049	4.5619335	4.7082396	4.8443418	4.818476	4.646281
ENSG00000001461	NIPAL3	210267_at	3.5478144	3.6646585	3.6926773	3.4635658	3.7750292	3.6490304
ENSG00000001461	NIPAL3	214579_at	6.5037527	6.373428	6.529541	6.3647804	6.516524	6.556424
ENSG00000001461	NIPAL3	225875_s_at	6.391335	6.3674855	6.365362	6.447325	6.3523564	6.4107194
ENSG00000001461	NIPAL3	225876_at	6.980804	6.6738415	6.8216934	7.043908	6.713834	6.6445894
ENSG00000001497	LAS1L	208117_s_at	8.283737	8.276611	8.372157	8.292554	8.383322	8.383025
ENSG00000001497	LAS1L	235541_at	4.803674	4.8051944	4.8326936	4.713438	4.922209	4.9450736
ENSG00000001561	ENPP4	204160_s_at	7.938285	6.6571517	6.801691	7.923419	7.7547965	6.7708445
ENSG00000001561	ENPP4	204161_s_at	5.8459663	4.5447655	4.587329	5.737028	5.6180634	4.3704524
ENSG00000001617	SEMA3F	206832_s_at	3.7398632	3.9877815	3.843323	3.6752837	4.2644024	3.8370004
ENSG00000001617	SEMA3F	209730_at	6.907286	7.2768507	6.9194818	6.6010103	7.078005	7.0705113
ENSG00000001617	SEMA3F	35666_at	7.906814	8.049602	8.109711	8.092549	8.090657	8.133246
ENSG00000001626	CFTR	205043_at	4.0909967	4.381034	4.1690044	3.936214	4.5127516	4.1633453
ENSG00000001626	CFTR	215702_s_at	2.969313	3.0642202	3.037839	3.0460467	3.2484887	3.015514
ENSG00000001626	CFTR	215703_at	3.369965	2.9260495	3.1557972	3.2599742	3.126394	2.9795346
ENSG00000001626	CFTR	234702_x_at	2.9051108	2.8713825	2.9595387	2.8326263	2.8520713	2.706623
